"internationallettersigned","International Signed Letter",WORLD_ZONE_THREE_INTERNATIONAL_SIGNED_LETTER_EXTRA_INSURANCE,50.01,250,250
"internationalsignedlargeletter","International Signed Large Letter",WORLD_ZONE_EU_INTERNATIONAL_SIGNED_LARGE_LETTER,0,50,50
"internationalsignedlargeletter","International Signed Large Letter",WORLD_ZONE_EU_ONE_INTERNATIONAL_SIGNED_LARGE_LETTER,0,50,50
"internationalsignedlargeletter","International Signed Large Letter",WORLD_ZONE_EU_TWO_INTERNATIONAL_SIGNED_LARGE_LETTER,0,50,50
"internationalsignedlargeletter","International Signed Large Letter",WORLD_ZONE_EU_THREE_INTERNATIONAL_SIGNED_LARGE_LETTER,0,50,50
"internationalsignedlargeletter","International Signed Large Letter",WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_LARGE_LETTER,0,50,50
"internationalsignedlargeletter","International Signed Large Letter",WORLD_ZONE_TWO_INTERNATIONAL_SIGNED_LARGE_LETTER,0,50,50
"internationalsignedlargeletter","International Signed Large Letter",WORLD_ZONE_THREE_INTERNATIONAL_SIGNED_LARGE_LETTER,0,50,50
"internationalsignedlargeletter","International Signed Large Letter",WORLD_ZONE_EU_INTERNATIONAL_SIGNED_LARGE_LETTER_EXTRA_INSURANCE,50.01,250,250
"internationalsignedlargeletter","International Signed Large Letter",WORLD_ZONE_EU_ONE_INTERNATIONAL_SIGNED_LARGE_LETTER_EXTRA_INSURANCE,50.01,250,250
"internationalsignedlargeletter","International Signed Large Letter",WORLD_ZONE_EU_TWO_INTERNATIONAL_SIGNED_LARGE_LETTER_EXTRA_INSURANCE,50.01,250,250
"internationalsignedlargeletter","International Signed Large Letter",WORLD_ZONE_EU_THREE_INTERNATIONAL_SIGNED_LARGE_LETTER_EXTRA_INSURANCE,50.01,250,250
"internationalsignedlargeletter","International Signed Large Letter",WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_LARGE_LETTER_EXTRA_INSURANCE,50.01,250,250
"internationalsignedlargeletter","International Signed Large Letter",WORLD_ZONE_TWO_INTERNATIONAL_SIGNED_LARGE_LETTER_EXTRA_INSURANCE,50.01,250,250
"internationalsignedlargeletter","International Signed Large Letter",WORLD_ZONE_THREE_INTERNATIONAL_SIGNED_LARGE_LETTER_EXTRA_INSURANCE,50.01,250,250
"internationalsignedsmallparcel","International Signed Small Parcel",WORLD_ZONE_EU_INTERNATIONAL_SIGNED_SMALL_PARCEL,0,50,50, SMALL
"internationalsignedsmallparcel","International Signed Small Parcel",WORLD_ZONE_EU_ONE_INTERNATIONAL_SIGNED_SMALL_PARCEL,0,50,50, SMALL
"internationalsignedsmallparcel","International Signed Small Parcel",WORLD_ZONE_EU_TWO_INTERNATIONAL_SIGNED_SMALL_PARCEL,0,50,50, SMALL
"internationalsignedsmallparcel","International Signed Small Parcel",WORLD_ZONE_EU_THREE_INTERNATIONAL_SIGNED_SMALL_PARCEL,0,50,50, SMALL
"internationalsignedsmallparcel","International Signed Small Parcel",WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_SMALL_PARCEL,0,50,50, SMALL
